"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Duration","Growth Habit","Native Status","State Noxious Status","State Noxious Common Name","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ACSA2","","Acer saccharinum","silver maple","Dicot","Perennial","Tree","L48(N)CAN(N)","","","Yes","Spring and Summer","","None","High","Yes","Yes","No","Yellow","Yes","Green","Dense","Porous","Medium","Brown","Yes","Single Stem","Rapid","45","90","No","No","Moderate","No","None","Yes","Rounded","None","Yes","Yes","Yes","High","Medium","No","Low","Low","Low","120","None","Medium","4.0","7.3","170","700","20","70","32","Low","Intermediate","-47","Early Spring","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","1610","Slow","Low","No","None","No","No","No","Medium","Yes","No","Yes","Low","Low","Yes","No","Low","No","Yes"
"ACHIL","","Achillea","yarrow","Dicot","","","L48(I,N)CAN(I,N)GL(I,N)SPM(I,N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMI2","","Achillea millefolium","common yarrow","Dicot","Perennial","Forb/herb","L48(I,N)AK(N)HI(I)CAN(NI)GL(N)SPM(NI)","","","Yes","Spring","Moderate","Low","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate","","3.0","No","No","Moderate","No","None","No","Erect","Slight","No","Yes","No","None","Medium","No","Medium","Medium","High","120","None","Medium","6.0","8.0","4800","19000","8","60","8","Low","Intermediate","-38","Early Summer","Routinely Available","Medium","Summer","Summer","Yes","No","No","Yes","No","No","Yes","No","Yes","No","2852012","Slow","Low","No","Slow","No","No","No","","No","No","Yes","Medium","Low","No","No","Low","No","No"
"ACMIA","","Achillea millefolium var. alpicola","common yarrow","Dicot","Perennial","Forb/herb","L48(N)AK(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMIB","","Achillea millefolium var. borealis","boreal yarrow","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMIC","","Achillea millefolium var. californica","California yarrow","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMIM2","","Achillea millefolium var. millefolium","common yarrow","Dicot","Perennial","Forb/herb","L48(I)HI(I)CAN(I)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMIO","","Achillea millefolium var. occidentalis","western yarrow","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)SPM(N)","","","Yes","Spring","Moderate","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Moderate","","3.0","No","No","Moderate","No","None","No","Erect","Slight","Yes","Yes","No","None","Medium","No","Medium","Low","High","100","None","Medium","6.0","8.0","4800","19000","8","26","8","Low","Intermediate","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No","3411818","Moderate","High","No","Rapid","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"ACMIP","","Achillea millefolium var. pacifica","Pacific yarrow","Dicot","Perennial","Forb/herb","L48(N)AK(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACPT","","Achillea ptarmica","sneezeweed","Dicot","Perennial","Forb/herb","L48(I)AK(I)CAN(I)GL(I)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACHLY","","Achlys","achlys","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCA6","","Achlys californica","deer's foot","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTR","","Achlys triphylla","sweet after death","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACHNA","","Achnatherum","needlegrass","Monocot","","","L48(I,N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACBL","","Achnatherum ×bloomeri","","Monocot","Perennial","Graminoid","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACHE10","","Achnatherum hendersonii","Henderson's needlegrass","Monocot","Perennial","Graminoid","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACHY","","Achnatherum hymenoides","Indian ricegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","Yes","Spring, Summer, Fall","Moderate","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate","","2.0","No","No","Short","No","None","No","Erect","None","Yes","Yes","No","None","High","Yes","High","Low","High","90","None","Low","6.6","8.6","","","8","16","18","Low","Intolerant","-36","Late Spring","Routinely Available","High","Spring","Summer","Yes","No","No","No","No","No","Yes","No","No","No","161920","Rapid","High","No","None","No","No","Yes","","No","No","No","High","High","No","No","Medium","No","No"
"ACLE8","","Achnatherum lemmonii","Lemmon's needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACLEL","","Achnatherum lemmonii var. lemmonii","Lemmon's needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow","","3.0","No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","Yes","No","None","Medium","No","High","Low","High","90","None","Low","6.0","7.5","","","10","20","12","None","Intolerant","-28","Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","239000","Moderate","Medium","No","None","No","No","Yes","","No","No","No","Medium","Medium","No","No","Low","No","No"
"ACNE9","","Achnatherum nelsonii","Columbia needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACNED","","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate","","3.0","No","No","Short","No","None","No","Erect","None","No","Yes","No","None","Medium","No","High","Low","High","135","None","Low","6.8","8.0","","","6","20","10","None","Intolerant","-28","Early Summer","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","213000","Slow","Low","No","None","No","No","Yes","","No","No","No","Low","Medium","No","No","Medium","No","No"
"ACOC3","","Achnatherum occidentale","western needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACOCC","","Achnatherum occidentale ssp. californicum","California needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACOCP","","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","Monocot","Perennial","Graminoid","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACRI8","","Achnatherum richardsonii","Richardson's needlegrass","Monocot","Perennial","Graminoid","L48(N)AK(I)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACTH7","","Achnatherum thurberianum","Thurber's needlegrass","Monocot","Perennial","Graminoid","L48(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Gray-Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate","","2.0","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Low","No","High","Low","High","100","None","Low","6.0","7.5","","","6","16","10","Low","Intolerant","-23","Mid Spring","Field Collections Only","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","225000","Slow","Medium","No","None","No","No","Yes","","No","No","No","Low","Medium","No","No","Low","No","No"
"ACINO","","Acinos","acinos","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAR2","","Acinos arvensis","basil thyme","Dicot","Annual, Perennial","Forb/herb","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACONI","","Aconitum","monkshood","Dicot","","","L48(I,N)CAN(GP)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACCO4","","Aconitum columbianum","Columbian monkshood","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Blue","Yes","Green","Moderate","Porous","Medium","Black","No","Single Crown","Moderate","","5.0","No","No","Moderate","No","None","No","Erect","Moderate","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Medium","110","None","High","5.4","7.2","700","1200","12","50","10","None","Intermediate","-28","Early Summer","Routinely Available","Medium","Summer","Summer","No","No","No","Yes","No","No","Yes","No","No","No","","Moderate","Medium","No","None","No","No","No","","No","No","Yes","Low","Low","No","No","Low","No","No"
"ACCOC3","","Aconitum columbianum ssp. columbianum","Columbian monkshood","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACORU","","Acorus","sweetflag","Monocot","","","L48(I,N)CAN(I,N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACAM","","Acorus americanus","sweetflag","Monocot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","","No","No","Yes","Yellow","No","Green","Dense","Moderate","Medium","Green","No","Rhizomatous","Moderate","","3.9","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Low","No","None","Medium","None","120","None","High","5.6","7.2","3450","4800","16","65","10","None","Intolerant","-38","Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","No","No","Yes","No","","Slow","High","No","Moderate","No","No","No","","No","No","No","","Low","No","No","","No","No"
